abbey {1>a|b>bb|i0>ey
firetruck f>f|AI1>i|r=0>re|t>t|r>r|V1>u|k>ck
firework f>f|AI1>i|r=0>re|w>w|r=2>or|k>k
firm f>f|r=1>ir|m>m
fish f>f|I1>i|S>sh
fisher f>f|I1>i|S>sh|r=0>er
fisherman f>f|I1>i|S>sh|r=0>er|m>m|V0>a|n>n
fist f>f|I1>i|s>s|t>t
fit f>f|I1>i|t>t
fitness f>f|I1>i|t>t|n>n|E0>e|s>ss
flag f>f|l>l|{1>a|g>g
flame f>f|l>l|EI1>a|m>me
flamingo f>f|l>l|V0>a|m>m|I1>i|n>n|g>g|@U0>o
flap f>f|l>l|{1>a|p>p
flash f>f|l>l|{1>a|S>sh
flashlight f>f|l>l|{1>a|S>sh|l>l|AI2>igh|t>t
flask f>f|l>l|{1>a|s>s|k>k
flavor f>f|l>l|EI1>a|v>v|r=0>or
flea f>f|l>l|i1>ea
fleet f>f|l>l|i1>ee|t>t
flesh f>f|l>l|E1>e|S>sh
flight f>f|l>l|AI1>igh|t>t
flint f>f|l>l|I1>i|n>n|t>t
flip f>f|l>l|I1>i|p>p
flipper f>f|l>l|I1>i|p>pp|r=0>er
flock f>f|l>l|A1>o|k>ck
flood f>f|l>l|V1>oo|d>d
floor f>f|l>l|O1>oo|r>r
flooring f>f|l>l|O1>oo|r>r|I0>i|N>ng
flora f>f|l>l|O1>o|r>r|V0>a
florence f>f|l>l|O1>o|r>r|E0>e|n>n|s>ce
florida f>f|l>l|O1>o|r>r|I0>i|d>d|V0>a
flounder f>f|l>l|aU1>ou|n>n|d>d|r=0>er
flour f>f|l>l|aU1>ou|r>r
flow f>f|l>l|@U1>ow
flower f>f|l>l|aU1>ow|r=0>er
flowerpot f>f|l>l|aU1>ow|r=0>er|p>p|A1>o|t>t
flu f>f|l>l|u1>u
fluid f>f|l>l|u1>u|I0>i|d>d
flush f>f|l>l|V1>u|S>sh
flute f>f|l>l|u1>u|t>te
fly f>f|l>l|AI1>y
foam f>f|@U1>oa|m>m
focus f>f|@U1>o|k>c|V0>u|s>s
foe f>f|@U1>oe
fog f>f|O1>o|g>g
foil f>f|OI1>oi|l>l
fold f>f|@U1>o|l>l|d>d
folder f>f|@U1>o|l>l|d>d|r=0>er
foliage f>f|@U1>o|l>l|I0>i|dZ>age
folk f>f|@U1>o|k>lk
font f>f|A1>o|n>n|t>t
food f>f|u1>oo|d>d
foot f>f|U1>oo|t>t
football f>f|U1>oo|t>t|b>b|O2>a|l>ll
footnote f>f|U1>oo|t>t|n>n|@U2>o|t>te
force f>f|O1>o|r>r|s>ce
ford f>f|O1>o|r>r|d>d
forest f>f|O1>o|r>r|I0>e|s>s|t>t
forge f>f|O1>o|r>r|dZ>ge
fork f>f|O1>o|r>r|k>k
forklift f>f|O1>o|r>r|k>k|l>l|I2>i|f>f|t>t
form f>f|O1>o|r>r|m>m
format f>f|O1>o|r>r|m>m|{2>a|t>t
formula f>f|O1>o|r>r|m>m|j;V0>u|l>l|V0>a
fort f>f|O1>o|r>r|t>t
fortepiano f>f|O2>o|r>r|t>t|EI0>e|p>p|i0>i|{1>a|n>n|@U0>o
fortress f>f|O1>o|r>r|t>t|r>r|E0>e|s>ss
fortune f>f|O1>o|r>r|tS>t|V0>u|n>ne
fossil f>f|A1>o|s>ss|I0>i|l>l
fossilfuel f>f|A1>o|s>ss|I0>i|l>l|f>f|j;u1>ue|l>l
foundation f>f|aU0>ou|n>n|d>d|EI1>a|S>ti|V0>o|n>n
foundry f>f|aU1>ou|n>n|d>d|r>r|i0>y
fountain f>f|aU1>ou|n>n|t>t|V0>ai|n>n
fowl f>f|aU1>ow|l>l
fox f>f|A1>o|k;s>x
fragment f>f|r>r|{1>a|g>g|m>m|E0>e|n>n|t>t
frame f>f|r>r|EI1>a|m>me
framework f>f|r>r|EI1>a|m>me|w>w|r=2>or|k>k
france f>f|r>r|{1>a|n>n|s>ce
francis f>f|r>r|{1>a|n>n|s>c|I0>i|s>s
frank f>f|r>r|{1>a|n>n|k>k
frankfurt f>f|r>r|{1>a|n>n|k>k|f>f|r=0>ur|t>t
franklin f>f|r>r|{1>a|n>n|k>k|l>l|I0>i|n>n
franz f>f|r>r|{1>a|n>n|z>z
fraud f>f|r>r|O1>au|d>d
fred f>f|r>r|E1>e|d>d
frederick f>f|r>r|E1>e|d>d|r=0>er|I0>i|k>ck
freedom f>f|r>r|i1>ee|d>d|V0>o|m>m
freeway f>f|r>r|i1>ee|w>w|EI2>ay
freezer f>f|r>r|i1>ee|z>z|r=0>er
freight f>f|r>r|EI1>eigh|t>t
french f>f|r>r|E1>e|n>n|tS>ch
friday f>f|r>r|AI1>i|d>d|EI2>ay
fridge f>f|r>r|I1>i|dZ>dge
friedegg f>f|r>r|AI1>ie|d>d|E1>e|g>gg
friend f>f|r>r|E1>ie|n>n|d>d
fries f>f|r>r|AI1>ie|z>s
frigate f>f|r>r|I1>i|g>g|V0>a|t>te
fright f>f|r>r|AI1>igh|t>t
frisbee f>f|r>r|I1>i|s>s|b>b|i0>ee
frog f>f|r>r|A1>o|g>g
front f>f|r>r|V1>o|n>n|t>t
frontier f>f|r>r|V0>o|n>n|t>t|I1>i|r>er
frost f>f|r>r|O1>o|s>s|t>t
fruit f>f|r>r|u1>ui|t>t
fryingpan f>f|r>r|AI1>y|I0>i|N>ng|p>p|{1>a|n>n
fuel f>f|j;u1>ue|l>l
fuelstation f>f|j;u1>ue|l>l|s>s|t>t|EI1>a|S>ti|V0>o|n>n
fun f>f|V1>u|n>n
function f>f|V1>u|n>n|k>c|S>ti|V0>o|n>n
fund f>f|V1>u|n>n|d>d
funeral f>f|j;u1>u|n>n|r=0>er|V0>a|l>l
fur f>f|r=1>ur
furnace f>f|r=1>ur|n>n|V0>a|s>ce
furniture f>f|r=1>ur|n>n|I0>i|tS>t|r=0>ure
fuse f>f|j;u1>u|z>se
fuss f>f|V1>u|s>ss
future f>f|j;u1>u|tS>t|r=0>ure
gable g>g|EI1>a|b>b|V0;l>le
gabriel g>g|EI1>a|b>b|r>r|i0>i|E0>e|l>l
gag g>g|{1>a|g>g
gain g>g|EI1>ai|n>n
galaxy g>g|{1>a|l>l|V0>a|k;s>x|i0>y
gale g>g|EI1>a|l>le
gallery g>g|{1>a|l>ll|r=0>er|i0>y
game g>g|EI1>a|m>me
gamma g>g|{1>a|m>mm|V0>a
gang g>g|{1>a|N>ng
gap g>g|{1>a|p>p
garage g>g|r=0>ar|A1>a|Z>ge
garbage g>g|A1>a|r>r|b>b|V0>a|dZ>ge
garden g>g|A1>a|r>r|d>d|E0>e|n>n
garlic g>g|A1>a|r>r|l>l|I0>i|k>c
garment g>g|A1>a|r>r|m>m|E0>e|n>n|t>t
gary g>g|E1>a|r>r|i0>y
gas g>g|{1>a|s>s
gasoline g>g|{1>a|s>s|V0>o|l>l|i2>i|n>ne
gasstation g>g|{1>a|s>s|s>s|t>t|EI1>a|S>ti|V0>o|n>n
gastropod g>g|{1>a|s>s|t>t|r>r|V0>o|p>p|A2>o|d>d
gate g>g|EI1>a|t>te
gateway g>g|EI1>a|t>te|w>w|EI2>ay
gauge g>g|EI1>au|dZ>ge
gaze g>g|EI1>a|z>ze
gazelle g>g|V0>a|z>z|E1>e|l>lle
gear g>g|I1>ea|r>r
gel dZ>g|E1>e|l>l
gem dZ>g|E1>e|m>m
gender dZ>g|E1>e|n>n|d>d|r=0>er
gene dZ>g|i1>e|n>ne
general dZ>g|E1>e|n>n|r=0>er|V0>a|l>l
generation dZ>g|E2>e|n>n|r=0>er|EI1>a|S>ti|V0>o|n>n
generator dZ>g|E1>e|n>n|r=0>er|EI2>a|t>t|r=0>or
genetics dZ>g|E0>e|n>n|E1>e|t>t|I0>i|k>c|s>s
geneva dZ>g|E0>e|n>n|i1>e|v>v|V0>a
genie dZ>g|i1>e|n>n|i0>ie
genius dZ>g|i1>e|n>n|j>i|V0>u|s>s
gentleman dZ>g|E1>e|n>n|t>t|V0;l>le|m>m|V0>a|n>n
geography dZ>g|i0>e|A1>o|g>g|r>r|V0>a|f>ph|i0>y
geology dZ>g|i0>e|A1>o|l>l|V0>o|dZ>g|i0>y
george dZ>ge|O1>o|r>r|dZ>ge
georgia dZ>ge|O1>o|r>r|dZ>gi|V0>a
gerald dZ>g|E1>e|r>r|V0>a|l>l|d>d
germ dZ>g|r=1>er|m>m
german dZ>g|r=1>er|m>m|V0>a|n>n
germany dZ>g|r=1>er|m>m|V0>a|n>n|i0>y
ghana g>gh|{1>a|n>n|V0>a
ghost g>gh|@U1>o|s>s|t>t
giant dZ>g|AI1>i|V0>a|n>n|t>t
gibson g>g|I1>i|b>b|s>s|V0>o|n>n
gift g>g|I1>i|f>f|t>t
gilbert g>g|I1>i|l>l|b>b|r=0>er|t>t
gill g>g|I1>i|l>ll
ginger dZ>g|I1>i|n>n|dZ>g|r=0>er
giraffe dZ>g|r=0>ir|{1>a|f>ffe
girl g>g|r=1>ir|l>l
girlscout g>g|r=1>ir|l>l|s>s|k>c|aU2>ou|t>t
glasgow g>g|l>l|{1>a|s>s|g>g|@U2>ow
glass g>g|l>l|{1>a|s>ss
glasses g>g|l>l|{1>a|s>ss|I0>e|z>s
glasshouse g>g|l>l|{1>a|s>ss|h>h|aU2>ou|s>se
glen g>g|l>l|E1>e|n>n
glenn g>g|l>l|E1>e|n>nn
glitter g>g|l>l|I1>i|t>tt|r=0>er
globe g>g|l>l|@U1>o|b>be
gloom g>g|l>l|u1>oo|m>m
gloria g>g|l>l|O1>o|r>r|i0>i|V0>a
glory g>g|l>l|O1>o|r>r|i0>y
glove g>g|l>l|V1>o|v>ve
glow g>g|l>l|@U1>ow
glucose g>g|l>l|u1>u|k>c|@U2>o|s>se
glue g>g|l>l|u1>ue
gnat n>gn|{1>a|t>t
gnome n>gn|@U>o|m>me
goal g>g|@U1>oa|l>l
goat g>g|@U1>oa|t>t
goatherd g>g|@U1>oa|t>t|h>h|r=2>er|d>d
goblin g>g|A1>o|b>b|l>l|I0>i|n>n
god g>g|A1>o|d>d
goddess g>g|A1>o|d>dd|E0>e|s>ss
gold g>g|@U1>o|l>l|d>d
golf g>g|A1>o|l>l|f>f
goodness g>g|U1>oo|d>d|n>n|I0>e|s>ss
goose g>g|u1>oo|s>se
gordon g>g|O1>o|r>r|d>d|V0>o|n>n
gorilla g>g|r=0>or|I1>i|l>ll|V0>a
gospel g>g|A1>o|s>s|p>p|E0>e|l>l
gossamer g>g|A1>o|s>ss|V0>a|m>m|r=0>er
gossip g>g|A1>o|s>ss|I0>i|p>p
government g>g|V1>o|v>v|r=0>er|n>n|m>m|E0>e|n>n|t>t
governor g>g|V1>o|v>v|r=0>er|n>n|r=0>or
gown g>g|aU1>ow|n>n
grab g>g|r>r|{1>a|b>b
grace g>g|r>r|EI1>a|s>ce
grade g>g|r>r|EI1>a|d>de
grader g>g|r>r|EI1>a|d>d|r=0>er
graduate g>g|r>r|{1>a|dZ>d|u0>u|EI2>a|t>te
graham g>g|r>r|EI1>a|V0>ha|m>m
grain g>g|r>r|EI1>ai|n>n
gramps g>g|r>r|{1>a|m>m|p>p|s>s
grampus g>g|r>r|{1>a|m>m|p>p|V0>u|s>s
gran g>g|r>r|{1>a|n>n
grandad g>g|r>r|{1>a|n>n|d>d|{2>a|d>d
granddad g>g|r>r|{1>a|n>n|d>dd|{2>a|d>d
granddaddy g>g|r>r|{1>a|n>n|d>dd|{2>a|d>dd|i0>y
grandfather g>g|r>r|{1>a|n>n|d>d|f>f|A2>a|D>th|r=0>er
grandma g>g|r>r|{1>a|n>n|d>d|m>m|A0>a
grandmother g>g|r>r|{1>a|n>n|d>d|m>m|V2>o|D>th|r=0>er
grandpa g>g|r>r|{1>a|n>n|d>d|p>p|A2>a
grandparent g>g|r>r|{1>a|n>n|d>d|p>p|E2>a|r>r|E0>e|n>n|t>t
grandson g>g|r>r|{1>a|n>n|d>d|s>s|V2>o|n>n
granma g>g|r>r|{1>a|n>n|m>m|V0>a
grannie g>g|r>r|{1>a|n>nn|i1>ie
granny g>g|r>r|{1>a|n>nn|i0>y
granola g>g|r>r|V1>a|n>n|@U0>o|l>l|V0>a
granpa g>g|r>r|{1>a|n>n|p>p|V1>a
grant g>g|r>r|{1>a|n>n|t>t
grape g>g|r>r|EI1>a|p>pe
grapefruit g>g|r>r|EI1>a|p>pe|f>f|r>r|u2>ui|t>t
grass g>g|r>r|{1>a|s>ss
grasshopper g>g|r>r|{1>a|s>ss|h>h|A2>o|p>pp|r=0>er
grater g>g|r>r|EI1>a|t>t|r=0>er
gratitude g>g|r>r|{1>a|t>t|I0>i|t>t|u2>u|d>de
grave g>g|r>r|EI1>a|v>ve
graveyard g>g|r>r|EI1>a|v>ve|j>y|A2>a|r>r|d>d
grease g>g|r>r|i1>ea|s>se
greece g>g|r>r|i1>ee|s>ce
greed g>g|r>r|i1>ee|d>d
greek g>g|r>r|i1>ee|k>k
green g>g|r>r|i1>ee|n>n
greenhouse g>g|r>r|i1>ee|n>n|h>h|aU2>ou|s>se
greg g>g|r>r|E1>e|g>g
gregory g>g|r>r|E1>e|g>g|r=0>or|i0>y
grey g>g|r>r|EI1>ey
grid g>g|r>r|I1>i|d>d
griffin g>g|r>r|I1>i|f>ff|I0>i|n>n
griffon g>g|r>r|I1>i|f>ff|V0>o|n>n
grill g>g|r>r|I1>i|l>ll
grin g>g|r>r|I1>i|n>n
grip g>g|r>r|I1>i|p>p
groceries g>g|r>r|@U1>o|S>c|r=0>er|i0>i|z>es
grocery g>g|r>r|@U1>o|s>c|r=0>er|i0>y
groom g>g|r>r|u1>oo|m>m
groove g>g|r>r|u1>oo|v>ve
gross g>g|r>r|@U1>o|s>ss
ground g>g|r>r|aU1>ou|n>n|d>d
groundhog g>g|r>r|aU1>ou|n>n|d>d|h>h|A2>o|g>g
group g>g|r>r|u1>ou|p>p
grove g>g|r>r|@U1>o|v>ve
growth g>g|r>r|@U1>ow|T>th
gryphon g>g|r>r|I1>y|f>ph|V0>o|n>n
guacamole g>g|w>u|A1>a|k>c|V0>a|m>m|@U1>o|l>l|i0>e
guard g>gu|A1>a|r>r|d>d
guardian g>gu|A1>a|r>r|d>d|i0>i|V0>a|n>n
guava g>g|w>u|A1>a|v>v|V0>a
guest g>g|E1>ue|s>s|t>t
guide g>g|AI1>ui|d>de
guilt g>gu|I1>i|l>l|t>t
guinea g>gu|I1>i|n>n|i0>ea
guitar g>gu|I0>i|t>t|A1>a|r>r
gulf g>g|V1>u|l>l|f>f
gull g>g|V1>u|l>ll
gum g>g|V1>u|m>m
gun g>g|V1>u|n>n
gunship g>g|V1>u|n>n|S>sh|I1>i|p>p
gut g>g|V1>u|t>t
guy g>g|AI1>uy
gym dZ>g|I1>y|m>m
habit h>h|{1>a|b>b|I0>i|t>t
habitat h>h|{1>a|b>b|I0>i|t>t|{2>a|t>t
hair h>h|E1>ai|r>r
hairbrush h>h|E1>ai|r>r|b>b|r>r|V2>u|S>sh
hairdo h>h|E1>ai|r>r|d>d|u2>o
hairdryer h>h|E1>ai|r>r|d>d|r>r|AI2>y|r=0>er
haiti h>h|EI1>ai|t>t|i0>i
hale h>h|EI1>a|l>le
hall h>h|O1>a|l>ll
hallway h>h|O1>a|l>ll|w>w|EI2>ay
ham h>h|{1>a|m>m
hamburg h>h|{1>a|m>m|b>b|r=0>ur|g>g
hamburger h>h|{1>a|m>m|b>b|r=0>ur|g>g|r=0>er
hamilton h>h|{1>a|m>m|I0>i|l>l|t>t|V0>o|n>n
hammer h>h|{1>a|m>mm|r=0>er
hammock h>h|{1>a|m>mm|V0>o|k>ck
hamsa h>h|V1>a|m>m|s>s|V1>a
hamster h>h|{1>a|m>m|s>s|t>t|r=0>er
han h>h|{1>a|n>n
hand h>h|{1>a|n>n|d>d
handbag h>h|{1>a|n>n|d>d|b>b|{2>a|g>g
handbook h>h|{1>a|n>n|d>d|b>b|U2>oo|k>k
handcuffs h>h|{1>a|n>n|d>d|k>c|V2>u|f>ff|s>s
handgun h>h|{1>a|n>n|d>d|g>g|V2>u|n>n
handle h>h|{1>a|n>n|d>d|V0;l>le
hangar h>h|{1>a|N>ng|r=0>ar
hank h>h|{1>a|n>n|k>k
hansen h>h|{1>a|n>n|s>s|E0>e|n>n
happiness h>h|{1>a|p>pp|i0>i|n>n|E0>e|s>ss
happy h>h|{1>a|p>pp|i0>y
harbor h>h|A1>a|r>r|b>b|r=0>or
harbour h>h|A1>a|r>r|b>b|r=0>our
hardware h>h|A1>a|r>r|d>d|w>w|E2>a|r>re
hare h>h|E1>a|r>re
harm h>h|A1>a|r>r|m>m
harmonica h>h|A0>a|r>r|m>m|A1>o|n>n|I0>i|k>c|V0>a
harmony h>h|A1>a|r>r|m>m|V0>o|n>n|i0>y
harold h>h|E1>a|r>r|V0>o|l>l|d>d
harp h>h|A1>a|r>r|p>p
harper h>h|A1>a|r>r|p>p|r=0>er
harpoon h>h|A0>a|r>r|p>p|u1>oo|n>n
harriet h>h|E1>a|r>rr|i0>i|E0>e|t>t
harris h>h|E1>a|r>rr|I0>i|s>s
harrison h>h|E1>a|r>rr|I0>i|s>s|V0>o|n>n
harry h>h|E1>a|r>rr|i0>y
harvard h>h|A1>a|r>r|v>v|r=0>ar|d>d
harvest h>h|A1>a|r>r|v>v|E0>e|s>s|t>t
harvey h>h|A1>a|r>r|v>ve|i0>y
hat h>h|{1>a|t>t
hatch h>h|{1>a|tS>tch
havana h>h|V0>a|v>v|{1>a|n>n|V0>a
haven h>h|EI1>a|v>v|E0>e|n>n
hawaii h>h|V0>a|w>w|AI1>ai|i2>i
hawk h>h|O1>aw|k>k
hay h>h|EI1>ay
hazard h>h|{1>a|z>z|r=0>ar|d>d
haze h>h|EI1>a|z>ze
hazel h>h|EI1>a|z>z|E0>e|l>l
hazelnut h>h|EI1>a|z>z|E0>e|l>l|n>n|V2>u|t>t
head h>h|E1>ea|d>d
headache h>h|E1>ea|d>d|EI2>a|k>che
headdress h>h|E1>ea|d>dd|r>r|E2>e|s>ss
headphone h>h|E1>ea|d>d|f>ph|@U2>o|n>ne
headphones h>h|E1>ea|d>d|f>ph|@U2>o|n>ne|z>s
headquarters h>h|E1>ea|d>d|k>qu|O2>a|r>r|t>t|r=0>er|z>s
health h>h|E1>ea|l>l|T>th
heap h>h|i1>ea|p>p
hearing h>h|I1>ea|r>r|I0>i|N>ng
heart h>he|A1>a|r>r|t>t
hearth h>he|A1>a|r>r|T>th
heat h>h|i1>ea|t>t
heater h>h|i1>ea|t>t|r=0>er
heath h>h|i1>ea|T>th
heaven h>h|E1>ea|v>v|E0>e|n>n
hebrew h>h|i1>e|b>b|r>r|u0>ew
hedge h>h|E1>e|dZ>dge
hedgehog h>h|E1>e|dZ>dge|h>h|A2>o|g>g
heel h>h|i1>ee|l>l
height h>he|AI1>igh|t>t
heir E1>hei|r>r
helen h>h|E1>e|l>l|E0>e|n>n
helicopter h>h|E1>e|l>l|I0>i|k>c|A2>o|p>p|t>t|r=0>er
helmet h>h|E1>e|l>l|m>m|E0>e|t>t
help h>h|E1>e|l>l|p>p
helper h>h|E1>e|l>l|p>p|r=0>er
hen h>h|E1>e|n>n
henri h>h|E1>e|n>n|r>r|i0>i
henry h>h|E1>e|n>n|r>r|i0>y
herald h>h|E1>e|r>r|V0>a|l>l|d>d
herb h>h|r=1>er|b>b
herbert h>h|r=1>er|b>b|r=0>er|t>t
herd h>h|r=1>er|d>d
herdsman h>h|r=1>er|d>d|s>s|m>m|{2>a|n>n
herman h>h|r=1>er|m>m|V0>a|n>n
hero h>h|I1>e|r>r|@U0>o
heron h>h|E1>e|r>r|V0>o|n>n
herring h>h|E1>e|r>rr|I0>i|N>ng
highway h>h|AI1>igh|w>w|EI2>ay
hike h>h|AI1>i|k>ke
hill h>h|I1>i|l>ll
hindu h>h|I1>i|n>n|d>d|u2>u
hip h>h|I1>i|p>p
hippo h>h|I1>i|p>pp|@U0>o
hippopotamus h>h|I2>i|p>pp|V0>o|p>p|A1>o|t>t|V0>a|m>m|V0>u|s>s
historian h>h|I0>i|s>s|t>t|O1>o|r>r|i0>i|V0>a|n>n
history h>h|I1>i|s>s|t>t|r=0>or|i0>y
hive h>h|AI1>i|v>ve
hockey h>h|A1>o|k>ck|i0>ey
hog h>h|A1>o|g>g
hole h>h|@U1>o|l>le
holiday h>h|A1>o|l>l|I0>i|d>d|EI2>ay
holland h>h|A1>o|l>ll|V0>a|n>n|d>d
holly h>h|A1>o|l>ll|i0>y
hollywood h>h|A1>o|l>ll|i0>y|w>w|U2>oo|d>d
holy h>h|@U1>o|l>l|i0>y
home h>h|@U1>o|m>me
homeland h>h|@U1>o|m>me|l>l|{2>a|n>n|d>d
homeless h>h|@U1>o|m>me|l>l|E0>e|s>ss
homer h>h|@U1>o|m>m|r=0>er
homework h>h|@U1>o|m>me|w>w|r=2>or|k>k
honesty A1>ho|n>n|E0>e|s>s|t>t|i0>y
honey h>h|V1>o|n>n|i0>ey
hong h>h|O1>o|N>ng
honor A1>ho|n>n|r=0>or
hood h>h|U1>oo|d>d
hoodie h>h|U1>oo|d>d|i1>ie
hoof h>h|u1>oo|f>f
hook h>h|U1>oo|k>k
hoop h>h|u1>oo|p>p
hop h>h|A1>o|p>p
hope h>h|@U1>o|p>pe
horn h>h|O1>o|r>r|n>n
hornet h>h|O1>o|r>r|n>n|I0>e|t>t
horse h>h|O1>o|r>r|s>se
horseshoe h>h|O1>o|r>r|s>se|S>sh|u2>oe
hose h>h|@U1>o|z>se
hospital h>h|A1>o|s>s|p>p|I2>i|t>t|V0>a|l>l
host h>h|@U1>o|s>s|t>t
hotdog h>h|A1>o|t>t|d>d|O2>o|g>g
hotel h>h|@U0>o|t>t|E1>e|l>l
hound h>h|aU1>ou|n>n|d>d
hour aU1>hou|r>r
hourglass aU1>hou|r>r|g>g|l>l|{2>a|s>ss
house h>h|aU1>ou|s>se
household h>h|aU1>ou|s>se|h>h|@U2>o|l>l|d>d
housing h>h|aU1>ou|z>s|I0>i|N>ng
houston h>h|j;u1>ou|s>s|t>t|V0>o|n>n
hoverboard h>h|V1>o|v>v|r=0>er|b>b|O1>oa|r>r|d>d
howard h>h|aU1>ow|r=0>ar|d>d
hub h>h|V1>u|b>b
hudson h>h|V1>u|d>d|s>s|V0>o|n>n
hue h>h|j;u1>ue
hug h>h|V1>u|g>g
hugh j;u1>hugh
hughes j;u1>hugh|z>es
hull h>h|V1>u|l>ll
human h>h|j;u1>u|m>m|V0>a|n>n
hummingbird h>h|V1>u|m>mm|I0>i|N>ng|b>b|r=2>ir|d>d
hummus h>h|V1>u|m>mm|V0>u|s>s
humor h>h|j;u1>u|m>m|r=0>or
hungary h>h|V1>u|n>n|g>g|r=0>ar|i0>y
hunt h>h|V1>u|n>n|t>t
hunter h>h|V1>u|n>n|t>t|r=0>er
huntsman h>h|V1>u|n>n|t>t|s>s|m>m|V0>a|n>n
hurricane h>h|r=1>urr|I0>i|k>c|EI2>a|n>ne
hurt h>h|r=1>ur|t>t
husband h>h|V1>u|z>s|b>b|V0>a|n>n|d>d
husky h>h|V1>u|s>s|k>k|i0>y
hut h>h|V1>u|t>t
hydrant h>h|AI1>y|d>d|r>r|V0>a|n>n|t>t
hydrogen h>h|AI1>y|d>d|r>r|V0>o|dZ>g|E0>e|n>n
hyena h>h|AI0>y|i1>e|n>n|V0>a
hymn h>h|I1>y|m>mn
ice AI1>i|s>ce
iceberg AI1>i|s>ce|b>b|r=0>er|g>g
icecream AI1>i|s>ce|k>c|r>r|i2>ea|m>m
iceskate AI1>i|s>ce|s>s|k>k|EI2>a|t>te
ichtiosaur i0>i|k>ch|t>t|i0>i|A0>o|s>s|O1>au|r>r
ichtiosaurus i0>i|k>ch|t>t|i0>i|A0>o|s>s|O1>au|r>r|V0>u|s>s
icon AI1>i|k>c|A0>o|n>n
id I1>i|d>d
idaho AI1>i|d>d|V0>a|h>h|@U2>o
idea AI0>i|d>d|i1>e|V0>a
ideal AI0>i|d>d|i1>ea|l>l
identity AI0>i|d>d|E1>e|n>n|t>t|I0>i|t>t|i0>y
idol AI1>i|d>d|V0>o|l>l
igloo I1>i|g>g|l>l|u0>oo
iguana AI0>i|g>g|w>u|A1>a|n>n|V0>a
illinois I2>i|l>ll|I0>i|n>n|OI1>oi|z>s
illness I1>i|l>ll|n>n|E0>e|s>ss
illusion I0>i|l>ll|u1>u|Z>si|V0>o|n>n
image I1>i|m>m|V0>a|dZ>ge
imagination I0>i|m>m|{2>a|dZ>g|I0>i|n>n|EI1>a|S>ti|V0>o|n>n
immune I0>i|m>mm|j;u1>u|n>ne
impact I1>i|m>m|p>p|{0>a|k>c|t>t
import I1>i|m>m|p>p|O0>o|r>r|t>t
importance I0>i|m>m|p>p|O1>o|r>r|t>t|V0>a|n>n|s>ce
inch I1>i|n>n|tS>ch
income I1>i|n>n|k>c|V2>o|m>me
increase I1>i|n>n|k>c|r>r|i2>ea|s>se
independence I2>i|n>n|d>d|I0>e|p>p|E1>e|n>n|d>d|E0>e|n>n|s>ce
index I1>i|n>n|d>d|E0>e|k;s>x
india I1>i|n>n|d>d|i0>i|V0>a
indiana I2>i|n>n|d>d|i0>i|{1>a|n>n|V0>a
individual I2>i|n>n|d>d|I0>i|v>v|I1>i|dZ>d|u0>u|V0>a|l>l
indonesia I2>i|n>n|d>d|@U0>o|n>n|i1>e|Z>si|V0>a
industry I1>i|n>n|d>d|V0>u|s>s|t>t|r>r|i0>y
infant I1>i|n>n|f>f|V0>a|n>n|t>t
infantry I1>i|n>n|f>f|V0>a|n>n|t>t|r>r|i0>y
infection I0>i|n>n|f>f|E1>e|k>c|S>ti|V0>o|n>n
infirmary I0>i|n>n|f>f|r=1>ir|m>m|r=0>ar|i0>y
info I1>i|n>n|f>f|@U0>o
information I0>i|n>n|f>f|O1>o|r>r|m>m|EI1>a|S>ti|V0>o|n>n
injection I0>i|n>n|dZ>j|E1>e|k>c|S>ti|V0>o|n>n
injury I1>i|n>n|dZ>j|r=0>ur|i0>y
ink I1>i|n>n|k>k
inn I1>i|n>nn
input I1>i|n>n|p>p|U2>u|t>t
insect I1>i|n>n|s>s|E2>e|k>c|t>t
insectivore I1>i|n>n|s>s|E0>e|k>c|t>t|i0>i|v>v|O2>o|r>re
inspector I0>i|n>n|s>s|p>p|E1>e|k>c|t>t|r=0>or
instinct I1>i|n>n|s>s|t>t|I0>i|n>n|k>c|t>t
institute I1>i|n>n|s>s|t>t|I0>i|t>t|u2>u|t>te
instructor I0>i|n>n|s>s|t>t|r>r|V1>u|k>c|t>t|r=0>or
instrument I1>i|n>n|s>s|t>t|r>r|V0>u|m>m|E0>e|n>n|t>t
insurance I0>i|n>n|S>s|U1>u|r>r|V0>a|n>n|s>ce
intelligence I0>i|n>n|t>t|E1>e|l>ll|I0>i|dZ>g|E0>e|n>n|s>ce
interaction I2>i|n>n|t>t|r=0>er|{1>a|k>c|S>ti|V0>o|n>n
interest I1>i|n>n|t>t|r=0>er|I0>e|s>s|t>t
interface I1>i|n>n|t>t|r=0>er|f>f|EI2>a|s>ce
interior I0>i|n>n|t>t|I1>e|r>r|i0>i|r=0>or
intern I1>i|n>n|t>t|r=0>er|n>n
internet I1>i|n>n|t>t|r=0>er|n>n|E2>e|t>t
interrogation I0>i|n>n|t>t|E2>e|r>rr|V0>o|g>g|EI1>a|S>ti|V0>o|n>n
intersection I2>i|n>n|t>t|r=0>er|s>s|E1>e|k>c|S>ti|V0>o|n>n
interview I1>i|n>n|t>t|r=0>er|v>v|j>i|u2>ew
intestine I0>i|n>n|t>t|E1>e|s>s|t>t|I0>i|n>ne
introduction I2>i|n>n|t>t|r>r|V0>o|d>d|V1>u|k>c|S>ti|V0>o|n>n
